epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,166.668,2.12918,3.10023,4.02031,1.34803,0.00631,0.02662,0.0157,0.00954,0.00631,0.02662,0.0157,0.00855,1.67248,2.54288,4.03702,1.12356,5.001e-05,5.001e-05,5.001e-05
2,329.386,1.6116,2.34434,3.61323,1.02275,0.00641,0.03042,0.0257,0.02195,0.00641,0.03042,0.0257,0.02153,1.41714,1.89429,3.84772,0.97685,0.000115535,0.000115535,0.000115535
3,482.023,1.54638,1.97104,3.20234,0.97966,0.01363,0.06084,0.03253,0.02527,0.01704,0.07605,0.03477,0.02632,1.38466,1.79172,3.81131,0.93579,0.000179739,0.000179739,0.000179739
4,636.19,1.46851,1.84833,2.50872,0.91711,0.02722,0.14449,0.05611,0.03246,0.03152,0.1673,0.06489,0.03645,1.3178,1.63657,3.77528,0.92782,0.000242624,0.000242624,0.000242624
5,791.525,1.41372,1.72385,1.97756,0.89554,0.03621,0.19011,0.09123,0.04007,0.0449,0.23574,0.10705,0.04717,1.32038,1.65628,3.70749,0.91503,0.000304187,0.000304187,0.000304187
6,945.549,1.34987,1.69735,1.61487,0.89606,0.02845,0.14829,0.08026,0.03471,0.03939,0.20532,0.09701,0.03939,1.34414,1.69427,3.6658,0.92286,0.000364431,0.000364431,0.000364431
7,1098.59,1.22731,1.55419,1.45301,0.8919,0.02221,0.11787,0.07619,0.03631,0.02794,0.14829,0.07992,0.04044,1.36135,1.59227,3.63362,0.91902,0.000423355,0.000423355,0.000423355
8,1249.88,1.31221,1.81528,1.33514,0.89817,0.01578,0.08745,0.03984,0.02635,0.01783,0.09886,0.04216,0.02731,1.40967,1.56157,3.61226,0.91999,0.000480958,0.000480958,0.000480958
9,1408.38,1.12828,1.46478,1.11365,0.8756,0.01732,0.09886,0.03881,0.0269,0.01999,0.11407,0.04082,0.02574,1.30449,1.62616,3.56465,0.90006,0.000537241,0.000537241,0.000537241
10,1561.34,1.14469,1.52272,1.02325,0.88203,0.02093,0.11787,0.05089,0.03512,0.02431,0.13688,0.0523,0.03489,1.31532,1.61716,3.53905,0.90247,0.000592203,0.000592203,0.000592203
11,1717.82,1.08669,1.51564,0.95649,0.87503,0.02253,0.12548,0.06575,0.05093,0.02321,0.12928,0.06616,0.04508,1.2154,1.54618,3.46869,0.8867,0.000645846,0.000645846,0.000645846
12,1870.26,1.11877,1.37504,0.97136,0.90649,0.02412,0.12548,0.07897,0.0578,0.02485,0.12928,0.07999,0.05853,1.14053,1.59914,3.43544,0.88062,0.000698168,0.000698168,0.000698168
13,2021.8,1.01798,1.37405,0.93105,0.87595,0.02632,0.12928,0.09076,0.0658,0.02864,0.14068,0.09257,0.06741,1.24728,1.66327,3.38103,0.89096,0.00074917,0.00074917,0.00074917
14,2178.08,1.0462,1.47602,0.87116,0.86837,0.03295,0.1635,0.10826,0.0807,0.03525,0.1749,0.11137,0.07451,1.19086,1.65448,3.34172,0.88382,0.000798851,0.000798851,0.000798851
