epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7323,2.20787,3.66755,4.73329,1.38946,0.17312,0.48669,0.16341,0.08063,0.14514,0.4943,0.12483,0.04515,1.619,3.35278,7.27314,1.04799,0.00048343,0.00048343,0.00048343
2,45.5914,2.26862,4.82065,4.33838,1.33756,0,0,0,0,0,0,0,0,3.51711,8.66603,inf,2.59069,0.000981583,0.000981583,0.000981583
3,67.6992,3.25028,4.3648,8.71649,2.01572,0,0,0,0,0,0,0,0,3.43523,4.26159,16.6996,1.97743,0.00147775,0.00147775,0.00147775
4,89.9271,2.92788,5.48874,8.9374,1.77889,0.04438,0.18631,0.03169,0.01068,0.00543,0.02281,0.00286,0.00089,3.0065,256.175,inf,1.95945,0.0016571,0.0016571,0.0016571
5,112.246,2.55957,7.50588,9.29528,1.49293,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0016538,0.0016538,0.0016538
6,134.668,3.13494,5.92841,5.3166,1.81685,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0016505,0.0016505,0.0016505
7,156.924,3.43523,6.49769,4.3179,1.91432,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0016472,0.0016472,0.0016472
8,178.871,3.35687,4.53051,4.86722,2.00766,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.0016439,0.0016439,0.0016439
9,200.969,2.96135,5.41116,3.26981,1.93509,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00164059,0.00164059,0.00164059
10,223.097,3.1654,5.15121,3.35354,1.91389,0,0,0,0,0,0,0,0,2.45323,113.366,inf,2.28718,0.00163729,0.00163729,0.00163729
11,245.302,2.94731,4.20199,3.20226,1.78626,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00163399,0.00163399,0.00163399
12,267.427,2.75078,3.95653,3.79631,1.65815,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00163069,0.00163069,0.00163069
13,289.864,2.63545,3.78305,2.71151,1.53222,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00162739,0.00162739,0.00162739
14,311.97,2.71235,3.79493,2.66334,1.61804,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00162409,0.00162409,0.00162409
15,334.244,2.57036,3.92657,2.31076,1.44914,0,0,0,0,0,0,0,0,nan,nan,nan,nan,0.00162079,0.00162079,0.00162079
16,356.432,2.63279,4.63482,2.24204,1.46808,0.18199,0.04183,0.01472,0.0053,0.04632,0.02662,0.00415,0.0014,4.53661,424.47,8.26798,6.04153,0.00161749,0.00161749,0.00161749
