epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.083,2.64365,3.71909,3.92757,1.23432,0.4275,0.30948,0.31321,0.13388,0.22203,0.34221,0.19291,0.08887,1.87423,2.34887,2.13066,0.9537,5.001e-05,5.001e-05,5.001e-05
2,260.056,1.92912,2.74413,1.94109,0.93102,0.36442,0.62738,0.49801,0.17692,0.37546,0.64639,0.45586,0.18065,2.06674,2.27847,6.97343,1.0249,0.000115535,0.000115535,0.000115535
3,380.028,1.66458,2.43933,1.11257,0.91253,0.53006,0.87072,0.78596,0.38763,0.39812,0.65399,0.45981,0.16857,1.62205,2.21978,5.60575,0.90697,0.000179739,0.000179739,0.000179739
4,500.022,1.58493,2.54648,0.95276,0.87293,0.36873,0.87833,0.64362,0.30412,0.25775,0.61397,0.31191,0.09867,1.54606,2.42823,5.88,0.89679,0.000242624,0.000242624,0.000242624
5,620.133,1.48898,2.15046,0.87414,0.87592,0.45358,0.91255,0.76992,0.37834,0.33074,0.6654,0.44017,0.18881,1.61053,1.97407,5.1159,0.90095,0.000304187,0.000304187,0.000304187
6,742.347,1.41674,1.96857,0.79376,0.87459,0.69315,0.85551,0.8162,0.42634,0.52277,0.65393,0.48297,0.19957,1.44729,2.1577,2.82852,0.8972,0.000364431,0.000364431,0.000364431
7,862.282,1.28283,2.02959,0.74161,0.86369,0.74774,0.93536,0.89173,0.4934,0.54105,0.67681,0.50742,0.18763,1.3814,2.3213,2.41991,0.89334,0.000423355,0.000423355,0.000423355
8,981.355,1.52116,2.1287,0.78492,0.87516,0.85793,0.84955,0.87271,0.45561,0.65253,0.65019,0.53132,0.19959,1.54235,2.37624,2.0921,0.91129,0.000480958,0.000480958,0.000480958
9,1100.46,1.28452,1.98498,0.6746,0.84601,0.82834,0.88593,0.90978,0.48077,0.61514,0.65019,0.52248,0.19847,1.48363,3.47776,2.9053,0.91429,0.000537241,0.000537241,0.000537241
10,1220.93,1.34451,2.09921,0.71378,0.86343,0.81595,0.84791,0.86754,0.45458,0.63139,0.65399,0.53259,0.2108,1.58772,3.35288,2.43347,0.88837,0.000592203,0.000592203,0.000592203
11,1340.69,1.31478,1.9224,0.69007,0.84315,0.6655,0.57034,0.59526,0.28331,0.56849,0.47529,0.4212,0.1258,1.83683,6.16577,2.34643,1.00906,0.000645846,0.000645846,0.000645846
12,1460.56,1.25574,1.73301,0.64123,0.84572,0.80068,0.45822,0.48468,0.20442,0.54117,0.32319,0.2622,0.08621,1.98159,52.5405,5.72283,1.1367,0.000698168,0.000698168,0.000698168
13,1580.16,1.22651,1.81275,0.61639,0.85238,0.71892,0.43764,0.49829,0.22594,0.55307,0.28897,0.27568,0.08566,2.10953,287.531,6.21967,1.15951,0.00074917,0.00074917,0.00074917
14,1700.32,1.31219,1.99321,0.60081,0.84073,0.69339,0.80228,0.75277,0.3666,0.52386,0.54753,0.41467,0.1222,1.73684,45.8885,3.33608,1.11967,0.000798851,0.000798851,0.000798851
15,1819.87,1.22048,1.6763,0.5958,0.84225,0.75451,0.6616,0.684,0.27629,0.58539,0.51331,0.44913,0.12911,1.99799,17.0731,4.97845,1.02443,0.000847213,0.000847213,0.000847213
16,1940.75,1.25655,1.93011,0.58529,0.84531,0.80498,0.76426,0.80649,0.35976,0.64185,0.59966,0.51283,0.16465,1.76432,40.4678,6.32339,1.043,0.000894254,0.000894254,0.000894254
17,2061.12,1.17895,1.77194,0.60979,0.84964,0.82786,0.70722,0.76395,0.33936,0.58183,0.5019,0.41296,0.14119,1.6014,4.46463,16.5987,0.96018,0.000939975,0.000939975,0.000939975
18,2180.49,1.2579,1.79291,0.59903,0.84313,0.79782,0.64517,0.67516,0.33095,0.60504,0.48927,0.4265,0.14652,1.42622,3.05146,8.25672,0.91682,0.000984375,0.000984375,0.000984375
19,2299.05,1.25739,1.87749,0.59818,0.84662,0.93107,0.87311,0.91607,0.46583,0.76324,0.72624,0.6382,0.25211,1.44344,2.50268,1.49743,0.93106,0.00102746,0.00102746,0.00102746
20,2417.24,1.2235,1.88027,0.5805,0.83342,0.90047,0.85996,0.90351,0.49964,0.7183,0.65927,0.56847,0.20372,1.38263,2.40278,0.92728,0.92588,0.00106922,0.00106922,0.00106922
21,2536.08,1.15169,1.56661,0.58655,0.85294,0.57389,0.68061,0.64164,0.37219,0.40267,0.48445,0.32491,0.10338,1.42627,2.84056,3.83508,0.9117,0.00110966,0.00110966,0.00110966
22,2654.9,1.18739,1.66776,0.56009,0.83644,0.75931,0.7917,0.81898,0.43945,0.56168,0.60076,0.49657,0.1773,1.45196,2.56813,2.02712,0.90721,0.00114877,0.00114877,0.00114877
23,2773.55,1.25924,1.78187,0.54469,0.83796,0.71269,0.70739,0.75364,0.43768,0.50385,0.5057,0.40794,0.13476,1.39406,2.69694,1.60554,0.90867,0.00118657,0.00118657,0.00118657
24,2891.3,1.25073,1.68537,0.56821,0.83817,0.73169,0.69202,0.75095,0.43882,0.51729,0.53232,0.41933,0.15609,1.40193,3.06555,1.87768,0.90522,0.00122305,0.00122305,0.00122305
25,3009.51,1.12142,1.50595,0.52855,0.83982,0.84617,0.77186,0.84376,0.42895,0.62761,0.59696,0.52097,0.19196,1.50573,3.16337,1.8076,0.92815,0.00125821,0.00125821,0.00125821
26,3126.56,1.25777,1.8379,0.617,0.83987,0.79813,0.77567,0.83747,0.46694,0.56963,0.54373,0.45229,0.1559,1.47311,5.91984,1.91761,0.92653,0.00125442,0.00125442,0.00125442
27,3245.58,1.1976,1.73214,0.60535,0.84387,0.74476,0.82098,0.82746,0.48473,0.45781,0.53992,0.33796,0.10992,1.32654,3.39905,3.22515,0.89952,0.00123791,0.00123791,0.00123791
28,3363.88,1.12273,1.67162,0.58149,0.8405,0.65341,0.74144,0.69633,0.36406,0.3846,0.48289,0.25233,0.06675,1.50728,3.57932,3.14575,0.9139,0.00122141,0.00122141,0.00122141
29,3481.29,1.32235,1.68095,0.59462,0.85057,0.57323,0.65399,0.56984,0.31378,0.37217,0.44487,0.25479,0.07823,1.53206,6.46539,3.32707,0.91171,0.00120491,0.00120491,0.00120491
30,3599.84,1.21842,1.78556,0.61155,0.83393,0.79475,0.73613,0.77594,0.46222,0.55475,0.52091,0.39045,0.13829,1.44452,3.47233,3.13405,0.92478,0.0011884,0.0011884,0.0011884
31,3717.87,1.15454,1.7004,0.55208,0.83034,0.80719,0.74525,0.81007,0.45379,0.48891,0.45247,0.32145,0.10532,1.44932,3.13136,1.90844,0.90034,0.0011719,0.0011719,0.0011719
32,3836.18,1.21238,1.78606,0.62795,0.84149,0.76095,0.74905,0.75431,0.42945,0.48817,0.48289,0.32278,0.1247,1.45225,2.6873,1.53995,0.90135,0.0011554,0.0011554,0.0011554
33,3954.4,1.12867,1.68035,0.55462,0.83765,0.73396,0.62738,0.65789,0.36644,0.41422,0.40684,0.25512,0.0899,1.5906,2.88477,2.2463,0.951,0.00113889,0.00113889,0.00113889
34,4072.57,1.2,1.69521,0.55513,0.83604,0.54543,0.54373,0.46974,0.23111,0.30125,0.31559,0.16667,0.05139,1.73779,3.11682,5.85474,0.98875,0.00112239,0.00112239,0.00112239
35,4190.81,1.11286,1.55744,0.55469,0.8416,0.79863,0.673,0.74266,0.42605,0.50144,0.42205,0.32257,0.10521,1.47925,2.52398,4.45654,0.93759,0.00110589,0.00110589,0.00110589
36,4309.01,1.11113,1.57523,0.52931,0.83357,0.91518,0.8327,0.91492,0.56543,0.65573,0.60076,0.50731,0.17008,1.22362,2.03439,1.45935,0.87452,0.00108938,0.00108938,0.00108938
37,4427.17,1.17388,1.7999,0.52211,0.82335,0.87707,0.84095,0.86209,0.52156,0.59687,0.55894,0.45416,0.15007,1.24485,2.00627,1.05217,0.86924,0.00107288,0.00107288,0.00107288
38,4545.3,1.13192,1.62459,0.53972,0.82968,0.80144,0.8327,0.82699,0.51224,0.59413,0.58935,0.46455,0.17387,1.19873,1.95697,1.11291,0.87117,0.00105638,0.00105638,0.00105638
39,4664.09,1.04592,1.56934,0.53754,0.82584,0.89011,0.88593,0.91752,0.57865,0.71366,0.68441,0.60132,0.21095,1.20559,1.78619,1.13382,0.87527,0.00103987,0.00103987,0.00103987
40,4782.95,1.16097,1.63912,0.54115,0.81879,0.90262,0.88213,0.92547,0.56397,0.70547,0.673,0.58345,0.2031,1.23076,1.89436,1.09879,0.88962,0.00102337,0.00102337,0.00102337
41,4901.11,1.12757,1.57296,0.6317,0.82187,0.86947,0.86114,0.91068,0.51514,0.60802,0.57034,0.43663,0.13605,1.39367,1.79041,0.96543,0.89113,0.00100687,0.00100687,0.00100687
42,5018.33,1.12022,1.48368,0.53108,0.82954,0.78014,0.80949,0.78642,0.43533,0.52436,0.53992,0.41731,0.12911,1.41188,1.83317,1.03034,0.87882,0.000990365,0.000990365,0.000990365
43,5136.57,1.13085,1.53812,0.58477,0.82251,0.75106,0.69202,0.76062,0.44237,0.60217,0.51711,0.48675,0.16669,1.34421,2.01158,1.09437,0.89667,0.000973861,0.000973861,0.000973861
44,5253.62,1.03866,1.43663,0.52742,0.815,0.80357,0.68441,0.76954,0.44592,0.60349,0.52091,0.48124,0.16787,1.36365,2.25562,1.68095,0.90823,0.000957358,0.000957358,0.000957358
45,5371.55,1.02378,1.45076,0.48096,0.81547,0.86988,0.86692,0.90563,0.53828,0.61604,0.65275,0.51145,0.16962,1.2939,1.85525,1.2965,0.88051,0.000940855,0.000940855,0.000940855
46,5489.8,1.03696,1.44078,0.49214,0.82678,0.88702,0.89555,0.92348,0.56144,0.6036,0.64639,0.48219,0.15952,1.26359,1.83702,1.12055,0.87703,0.000924352,0.000924352,0.000924352
47,5608.11,0.9993,1.45143,0.49542,0.81977,0.90533,0.87271,0.93107,0.56076,0.67304,0.68876,0.56281,0.2152,1.25209,1.78359,1.04319,0.87695,0.000907848,0.000907848,0.000907848
48,5727.36,0.95327,1.2825,0.46949,0.81962,0.87599,0.91322,0.93707,0.56616,0.63626,0.673,0.54699,0.21618,1.21309,1.74632,0.81731,0.87252,0.000891345,0.000891345,0.000891345
49,5845.23,1.04725,1.46828,0.47197,0.81804,0.90955,0.88973,0.93186,0.56362,0.63322,0.61977,0.51833,0.1719,1.20177,1.61737,0.69663,0.87113,0.000874842,0.000874842,0.000874842
50,5963.1,0.98099,1.30712,0.47343,0.81584,0.93213,0.89354,0.93376,0.59274,0.67524,0.64639,0.5358,0.19827,1.12521,1.50703,0.64859,0.86609,0.000858338,0.000858338,0.000858338
51,6081.52,0.9311,1.25085,0.45478,0.81889,0.92435,0.89354,0.94959,0.58297,0.71973,0.68061,0.60979,0.24489,1.19008,1.54852,0.7304,0.86496,0.000841835,0.000841835,0.000841835
52,6198.85,0.97319,1.24818,0.46655,0.81514,0.942,0.92776,0.95388,0.58439,0.72797,0.68172,0.59664,0.24315,1.20439,1.55322,0.73629,0.87057,0.000825332,0.000825332,0.000825332
53,6317.15,1.01833,1.2645,0.47917,0.81737,0.9259,0.92395,0.95594,0.60433,0.66533,0.64253,0.54577,0.20801,1.14736,1.48364,0.66616,0.86341,0.000808828,0.000808828,0.000808828
